Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2001:Q2,Next9,15484092,16727334,3827862,638392,3249171,3367214,1404800,1654025,2585870,1243242,967953,122696,152593
2001:Q2,Next40,15072516,18348202,6555624,1391989,1685155,3519482,1562513,947437,2686001,3275686,2462192,701069,112425
2001:Q2,Bottom50,1337865,3676067,1846070,747831,127535,195541,224506,67070,467514,2338202,1361529,938248,38425
2001:Q3,TopPt1,4070713,4102570,448854,124135,1068093,26954,35974,1136322,1262239,31857,20926,1861,9070
2001:Q3,RemainingTop1,6756926,7096669,1297841,381921,1784493,408990,352816,1450344,1420265,339744,241113,20577,78054
2001:Q3,Next9,15085735,16391152,3897936,647983,2742328,3421413,1300093,1673547,2707851,1305416,1006919,119766,178731
2001:Q3,Next40,15006432,18395753,6749932,1403545,1504020,3586287,1435441,962800,2753728,3389321,2537994,719993,131334
2001:Q3,Bottom50,1319144,3718817,1908736,753776,108027,196317,208547,65295,478120,2399674,1390737,952153,56784
2001:Q4,TopPt1,4264130,4294894,458217,142430,1289620,27477,38088,1095889,1243173,30763,20677,2752,7334
2001:Q4,RemainingTop1,7094927,7455227,1357707,372658,2040114,396484,362967,1461297,1464000,360301,260894,22626,76781
2001:Q4,Next9,15724131,16995831,3992409,659710,3076411,3518519,1375148,1639064,2734570,1271700,986694,132375,152631
2001:Q4,Next40,15405912,18872462,6922934,1425363,1625981,3627881,1505666,975006,2789630,3466550,2609786,747094,109670
2001:Q4,Bottom50,1303073,3759456,1919183,764139,116946,198099,214662,67431,478996,2456383,1433873,986980,35530
2002:Q1,TopPt1,4286128,4319454,469638,161445,1316605,28171,40387,1090862,1212346,33326,22568,2974,7784
2002:Q1,RemainingTop1,7212531,7580821,1421639,362829,2064769,381609,369871,1491764,1488341,368291,264033,22442,81816
2002:Q1,Next9,15975900,17273748,4115371,664918,3079039,3596426,1420482,1638084,2759428,1297848,1015935,132388,149525
2002:Q1,Next40,15636020,19183165,7091647,1439110,1618679,3655292,1558159,997292,2822986,3547145,2700701,741800,104644
2002:Q1,Bottom50,1316521,3780709,1929527,769993,113965,199279,219201,69324,479421,2464188,1445719,983912,34557
2002:Q2,TopPt1,4154840,4189632,484665,181578,1158215,28926,37850,1093084,1205314,34792,24366,3694,6732
