"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
2000,0.0137812448968948,0.000655654222922877,0.0177290934517622,0.0322267808018365,0.0093679576781264,0.0291900632404658,0.00900866869150616,0.00496776091691793,0.011091163714696,0.0143708916227673,0.0156828086085192,0.0236031084824734,0.0184707596268908,0.00836169959023567,0.00727969809756362,0.0150308641445626,0.0165968417425714,0.0213189609241016,0.0210160241351633,0.0133107109038964,0.00610673910325497,0.04757098586368,0.0158785518116434,0.0148677261693646,0.0297744034797758,0.0187456371775917,0.0270160080579054,0.0237446291435789,0.0684819763113251,0.0288579792557127,0.0129753760197235,0.0049673925129539,0.0293271270078389,0.0227655867386558,0.0145420015798423,0.0218869267021559,0.0453349929137771,0.0196655432770059,0.0135886778054851,0.0400761552463768,0.00906763482136193,0.0189203495290071,0.0169229353786917,0.0531761677764111,0.0181064222096183,0.0164867295754074,0.028901803827569,0.0150377106232798,0.00224980509527049,0.0118952694918616
2001,0.00781368944593062,0.000625867331105561,0.0100017056419325,0.0335671743837243,0.00720184501339461,0.018378926875977,0.017136707814136,0.00435123733794412,0.017739822900746,0.0292132756963765,0.0187637250053453,0.0191410557173518,0.0150478162150208,0.0139925173427855,0.00736743379521298,0.00754597544523113,0.0213745276835556,0.0154916973142334,0.0129121054440896,0.0158035176503596,0.00407932748158827,0.0386293174829967,0.0092039071773126,0.0140677023111568,0.0433270529392438,0.0163166490723506,0.0321689940956878,0.0195469544994269,0.0649278455524516,0.0302179837149029,0.00893384628933274,0.0036994104684284,0.0303611705274405,0.0112517175652596,0.0187372627727472,0.00818749453271307,0.0416648710445913,0.0475819241870422,0.0153103232996221,0.0150384731615994,0.0107657413738026,0.0195105337533932,0.0218205479405327,0.0480648027363585,0.019527140505694,0.0213667331491745,0.0533190369439248,0.0271322291259349,0.00239811310680778,0.0093722691340299
2002,0.00742182621011659,0.00063366272760103,0.0228635995126878,0.0417927074015394,0.00514931385225972,0.0293787601751578,0.00634862699106219,0.00741096939325754,0.0147578664574924,0.0192716991507485,0.0160612757359928,0.0159974854739866,0.0217858461761888,0.00667635413984291,0.00610097860629988,0.00620620885218064,0.0263161693680845,0.0159199880477488,0.0280261690668507,0.0146885368784733,0.00129126438916507,0.0428273092244282,0.0140698285919397,0.0213622405590898,0.0516771145025267,0.0306663138713713,0.0271828786650654,0.0191751213541008,0.079999858108357,0.0222509657400927,0.00738275942642683,0.00431443285634093,0.0284451072278239,0.00460579020883903,0.0189564106234595,0.0151879733424617,0.0481810080801966,0.0431357755440538,0.0153753430945983,0.0150407607577503,0.0126818094506897,0.0206909693573493,0.0153676409433812,0.0356331498005193,0.0231856795268172,0.0128370922083966,0.0226520404587034,0.0180428710019634,0.00160610152852608,0.0133663453379945
2003,0.00764848717854669,0.000608390727438842,0.0092084691719125,0.027263249379911,0.00837025862319552,0.0257001645588807,0.0130813797060373,0.013501486026752,0.00926803234681769,0.0125108841713943,0.01344643601795,0.0440557747432128,0.00892162405210105,0.0237690329374494,0.00548796475518458,0.0262125451983333,0.0267044476275666,0.0144112659047288,0.0109170826350894,0.0107780930439531,0.00462187150693892,0.0468306370237938,0.0156017052827402,0.0184762486151936,0.0452749523616929,0.0275718057767133,0.0141442115600779,0.0179010331925892,0.0615404324311583,0.0292398045440892,0.0120694210866628,0.0042751636608945,0.0320769312344091,0.0159216780503463,0.00871897349570635,0.0290038901235608,0.040904174943233,0.033349004307582,0.02949526685348,0.023680965703195,0.0130946403003632,0.0182525215991297,0.0252984657832999,0.038056663167879,0.0196220366709193,0.0205306925420843,0.00845135718424349,0.0186971718694973,0.00582021230082577,0.00961299802124559
2004,0.00674034909443888,0.000970904518252502,0.0202460925942396,0.0291984648446778,0.00434967673604228,0.0236926560590084,0.0310984584992387,0.00979276026679301,0.0120875544210964,0.00823930459172758,0.0203009525120607,0.0261933570947531,0.01124130898071,0.0127552886033743,0.0179646078720211,0.0179457808842687,0.0193248782268066,0.0160605325647436,0.016015205751169,0.00811135151371492,0.00598699611614475,0.0390282835675537,0.00956664132322669,0.0199023568935031,0.0421018089265083,0.0321310398448762,0.0412145875476823,0.0203340354736821,0.0731146647943493,0.0176224280850661,0.00985683723662942,0.00405172439586031,0.0580216300408821,0.0103715026138839,0.0225223112658646,0.0155516562121635,0.0255232767768929,0.0337940019135106,0.0119344191653364,0.0225124973482877,0.0116127808438718,0.013935148127819,0.0229017774282383,0.0301174093822896,0.0165006970659188,0.0299501984000029,0.0093823673681891,0.0154184131488442,0.00758911658017384,0.0151199064836112
2005,0.0103561634698676,0.000717611074359584,0.0127058545901483,0.025403539200805,0.00669366642437615,0.0254564342500265,0.0247465622841663,0.00684857820042918,0.0132335365412984,0.0155500590212417,0.0159891101115314,0.0329724788376709,0.0138663604466444,0.0330426445427449,0.0127617538587775,0.0141228837810771,0.0169250659075917,0.0103949963048388,0.0114090722676695,0.014216605402614,0.00218172812785254,0.0386552193095852,0.0234879916088801,0.0114723440089586,0.0384162174161676,0.0622900857933929,0.0317211028350351,0.0194273865356982,0.0585518948643505,0.0299800347382041,0.00869953863461404,0.00351241112452564,0.0414794096253257,0.0129085746460814,0.0143309957087648,0.0135349612943136,0.0421182669651549,0.0384323098429248,0.0136552139516545,0.0146929654709367,0.0161991278071933,0.0190213039379043,0.0212315802977951,0.0195961455652116,0.014021861269855,0.0133870650109233,0.00939904009562483,0.0255214095257967,0.00424508072328967,0.0204157567461064
2006,0.0111831957734556,0.000821981400716883,0.0154848376395296,0.0366579191028693,0.00500412298394404,0.0435173145380066,0.0137282327623038,0.00712378764814761,0.0102818177707379,0.0109404315603304,0.0129468095575264,0.0270515241617403,0.0111270346050255,0.0124724672887453,0.00798595025681441,0.0174648597420471,0.0245635295360273,0.0164438631866981,0.00666738483687869,0.0140599612642816,0.00315388768016159,0.0510690281737707,0.0149388632274554,0.0126590744747607,0.041378042088905,0.0476828888165279,0.0199112912135642,0.0239708249634477,0.0670162012465664,0.0148605101697317,0.00452927803823186,0.00363151853067545,0.0326080934754456,0.00782088169344104,0.0148387044232834,0.0244909665212545,0.0727659077709006,0.0574776415513292,0.00843793190093717,0.0202111401356723,0.0104710188968074,0.0161788593165053,0.0171396907285673,0.0303648842785226,0.0172665479024878,0.0179277658788642,0.00859322157071809,0.0179888835748935,0.00142422326275173,0.013665202877993
2007,0.012203054046697,0.0010208877785974,0.0149841989411513,0.0408025427804553,0.004751956012376,0.0193964332333388,0.00872607153187622,0.00482654188030575,0.0103969659806857,0.0110670269746283,0.0145665047565943,0.0323454998716497,0.0142574335875402,0.0121954480790863,0.0120351623689341,0.0148824148238101,0.0220871864434917,0.013701150503909,0.0175369662015371,0.0108390724759084,0.00716597935914625,0.049701204248779,0.0118938220043908,0.0156810712571645,0.0445862908227517,0.0283150055409274,0.0256050654053891,0.0222353550421652,0.0587824841388482,0.012652301344317,0.00705418162785065,0.00498923322644801,0.035639759215613,0.0104172548414016,0.0126235465144231,0.0330532417814731,0.083971954775694,0.0505502346080957,0.0129735582880093,0.0261203290875173,0.0183298069711715,0.0143134009436427,0.0174542001380727,0.0235150670407696,0.0181977068587512,0.0242184808500479,0.0064292399798944,0.0175701606917643,0.00232615941031598,0.0110113857125925
2008,0.010763800807988,0.000826360265672532,0.015160582263648,0.0392953663900978,0.00638095544772093,0.0197803259523722,0.0185629190522745,0.00934177646184394,0.0109136313532941,0.00923919880290862,0.0286151244586749,0.0225766025651813,0.0105929526507651,0.00750992225358307,0.00967113373838975,0.016473523654142,0.0211803940495651,0.0168819472349243,0.0108733852752273,0.0140453690080275,0.0119120549796943,0.0521177914217828,0.0150974443390393,0.0137418245345373,0.0450206066369974,0.0341015247262009,0.0240281621968794,0.0198671451088885,0.0408739382243615,0.017315568072879,0.00459032351961149,0.00645655287755345,0.0395570519573789,0.0139410627941464,0.0133117641963122,0.0331569709414715,0.0512353328220907,0.0309439103039021,0.0176743254257461,0.0473869621017162,0.0248714039970732,0.0145191357310303,0.0198491265201035,0.0283904324660111,0.0278769644661122,0.0162236642021931,0.0107794357900413,0.0149061265510836,0.00310460315716459,0.00846351825169687
2009,0.0138775963712768,0.000792150863533291,0.0172061108398515,0.0387404295249005,0.0103273368933436,0.0165532415087749,0.0135683327485626,0.00694575107011838,0.0124818380550632,0.00635149470219739,0.0164337574717993,0.0246939580856624,0.0123725412720752,0.0155334083137852,0.00929588784904792,0.0201894300003907,0.0139499620261037,0.0211524031513079,0.0107742388136583,0.00563593864781574,0.00320086102092448,0.0621316612812743,0.0178933332032581,0.0125125496385989,0.0818098381082389,0.0319125714948133,0.0240619600892015,0.0155271630383518,0.0350456829384743,0.0231351709103435,0.00603666158224387,0.00688103639094299,0.0512605490824289,0.0119560205434369,0.0131454591120733,0.0300137410731711,0.0358136190797481,0.0333974767004908,0.0144044189252935,0.041242099564918,0.030000062613195,0.017280201497216,0.0199702030322397,0.025463500261682,0.0192898262740223,0.0244021103999423,0.00310801105209331,0.0132994443801991,0.00190771602766978,0.0070212424742453
